Table 1
Simulation,BA_RMS,BA_STD,BA_PEAK,BA_VDV,RH_RMS,RH_STD,RH_PEAK,RH_INDEX,P_PEAK,P_RMS,E_HARVEST,E_TOTAL
HSGAct109,12.0115946792031,12.0115986830673,17.6804748612663,14.8655495159046,2736.68183706855,2736.68274929568,4066.41336391815,-69.3794174507396,218.304567895338,148.389807375052,196.40435863124,196.40435863124
HSGAct13,2.51294538804855,2.51294563934308,3.69351072369725,4.15752452825022,216.144539374034,216.144560988487,331.093788003276,-74.1756230669573,24.4039201353978,6.48829412174375,13.0796084218221,13.0796084218221
HSGActBH,0.939788491408057,0.939788804670835,2.34603229845289,1.31949331482359,192.239898319408,192.239962399363,539.494355483589,-271.903513296862,30.6501134421657,10.669047710543,10.1576983831907,10.1576983831907
HSGActBL,0.545378231727311,0.545378413520025,1.38515063897889,0.765893431179102,111.172602247715,111.172639305243,312.506137879577,-179.768541150687,18.0650249384705,5.13217226521582,3.23590584303906,3.23590584303906
HSGActDH,2.66893484785557,2.66893573750037,6.74318117335166,3.74741051158791,544.414401494181,544.414582965618,1529.91518388499,-216.330778661401,88.0737854003605,31.6385435305477,35.660011102535,35.660011102535
HSGActDL,2.18151292690925,2.1815136540801,5.54060255591554,3.06357372471641,444.69040899086,444.690557220972,1250.02455151831,-179.768541150687,72.2600997538819,25.8282175976614,28.8066211342207,28.8066211342207
HSGRef109,11.996107471018,11.9961114697198,17.6789019641228,14.861698764718,2740.57579841594,2740.57671194105,4072.02411881726,-69.3550819527979,,,,
HSGRef13,1.38073504833034,1.38073550857528,2.21749313704505,1.73244323664028,122.592306445125,122.592347309221,195.477984858265,-102.120975122304,,,,
HSGRefBH,0.932777806239764,0.932778117165648,2.35628719716936,1.31475914820734,193.404714961149,193.404779429377,542.671225725603,-274.998631046728,,,,
HSGRefBL,0.540305717199936,0.540305897301812,1.39087263412516,0.762180744024754,111.758562772751,111.758600025599,314.584326872203,-178.464584933391,,,,
HSGRefDH,2.64547827657103,2.64547915839698,6.77182526326153,3.73042856576946,547.42747886472,547.427661340516,1539.77959498741,-215.202214644726,,,,
HSGRefDL,2.16122286879974,2.16122358920725,5.56349053650063,3.04872297609902,447.034251091003,447.034400102396,1258.33730748881,-178.464584933391,,,,
MPCAct109,12.4157671529315,12.4157712915199,18.6544259777449,15.6995987986333,1356.84001976224,1356.84047204217,1963.75605564648,-73.3467418186712,130.957885169524,34.0555729663847,19.3739391923036,19.3739391923036
MPCAct13,2.07855584996413,2.07855605781971,3.03601971022945,3.44531253166119,184.829234131971,184.829252614894,268.775959347156,-38.2225270509984,15.411426855824,8.77085062178833,27.0727089628611,27.0727089628611
MPCActBH,1.50185222935014,1.50185272996747,4.96279736101629,2.18690351551934,163.495587373868,163.495641872388,468.708026199892,-157.849107324438,21.3676913250844,3.04117790635939,1.07335356868228,1.07335356868228
MPCActBL,0.863782303341938,0.863782591269324,2.89695346513605,1.27069930416416,93.7127715221241,93.7128027597094,268.712793202957,-142.20373735108,12.6653543973156,1.4127387913617,0.294668797429519,0.294668797429519
MPCActDH,4.25225321821927,4.25225463563677,14.3119197120005,6.21382063936683,463.125600204412,463.125754579586,1324.61792675709,-143.45655730736,59.3842090041621,10.1311752307204,5.10177961944347,5.10177961944347
MPCActDL,3.45512921336775,3.4551303650773,11.5878138605442,5.08279721665663,374.851086088496,374.851211038838,1074.85117281183,-142.20373735108,50.6614175892625,9.85408847315661,4.95425973277153,4.95425973277153
MPCRef109,12.9317391992661,12.9317435098451,19.0920010687347,15.867908788638,953.479240716609,953.479558542969,1380.51012394738,-72.1493232896669,121.959557012279,38.1762401021936,26.6874789495956,26.6874789495956
MPCRef13,2.07909621580309,2.0790964237127,3.03577877314906,3.44514534940793,184.74230814802,184.74232662225,268.745003526494,-38.2260000112137,15.3873242514197,8.76838872518411,27.0912425440704,27.0912425440704
MPCRefBH,2.55221087087657,2.55221172161338,10.104082251304,4.09851803451806,135.99223992726,135.992285257999,403.697352832286,-128.694672689754,21.3273373374682,3.37455687987743,1.28741519761812,1.28741519761812
MPCRefBL,1.32782735181563,1.32782779442468,4.34483180310625,1.93959728776411,79.9567885566813,79.9568152089397,235.729037395213,-149.888369485951,19.1535790994908,1.57525979002198,0.304887331111255,0.304887331111255
MPCRefDH,7.17826252707982,7.1782649198336,28.3794409935501,11.4662780513868,385.290326647611,385.290455077698,1160.68583655173,-111.739206537047,67.945219631483,11.171810666799,5.98737886271574,5.98737886271574
MPCRefDL,5.31130940726253,5.3113111776987,17.379327212425,7.75838915105646,319.827154226725,319.827260835759,942.916149580852,-149.888369485951,76.6143163979632,11.0925607884867,5.75116496157329,5.75116496157329
Passive109,12.1718155446484,12.1718196019196,17.8059640758061,15.0342559593261,2143.7897374996,2143.79045209606,3153.50570711897,-69.5535635004265,,,,
Passive13,2.45108008475967,2.45108090178622,4.43020539001038,3.16312028728248,210.769077703633,210.76914795998,374.856315866209,-107.133966265719,,,,
PassiveBH,1.11859714115837,1.11859751402402,2.74495232418526,1.56103123671819,176.139614541224,176.139673254419,506.469829328957,-226.760432773527,,,,
PassiveBL,0.649276243081897,0.649276459507275,1.63806994718965,0.90718560429054,101.879638424567,101.879672384441,292.308876777505,-223.238583918019,,,,
PassiveDH,3.17796553079453,3.1779665901162,7.9667954099013,4.43780418780187,498.958249446241,498.95841576563,1432.53679785453,-253.835921107921,,,,
PassiveDL,2.59710497232759,2.5971058380291,6.55227978875858,3.62874241716216,407.518553698269,407.518689537764,1169.23550711002,-223.238583918019,,,,
